lookback,enter,exit,min_hold,rebalance,trend_filter_ma,vol_target,vol_lookback,max_vol_scale,total_return_pct,sharpe,max_drawdown_pct,trades,final_equity
60,0.05,-0.02,10,5,0,0.15,20,1.25,22.3,0.907,-6.52,37,122296.68
60,0.05,-0.02,10,5,0,0.15,20,1.5,22.3,0.907,-6.52,37,122296.68
60,0.05,-0.02,5,5,0,0.15,20,1.25,21.16,0.875,-6.52,39,121164.05
60,0.05,-0.02,5,5,0,0.15,20,1.5,21.16,0.875,-6.52,39,121164.05
60,0.04,-0.02,10,5,0,0.15,20,1.25,21.15,0.879,-6.52,37,121151.21
60,0.04,-0.02,10,5,0,0.15,20,1.5,21.15,0.879,-6.52,37,121151.21
60,0.04,-0.02,5,10,0,0.15,20,1.25,20.62,0.82,-6.52,33,120623.98
60,0.04,-0.02,5,10,0,0.15,20,1.5,20.62,0.82,-6.52,33,120623.98
60,0.05,-0.02,10,5,0,0.12,20,1.25,18.76,0.924,-5.36,37,118763.3
60,0.05,-0.02,10,5,0,0.12,20,1.5,18.76,0.924,-5.36,37,118763.3
60,0.05,-0.02,5,5,0,0.12,20,1.25,17.86,0.893,-5.36,39,117859.32
60,0.05,-0.02,5,5,0,0.12,20,1.5,17.86,0.893,-5.36,39,117859.32
60,0.04,-0.02,10,5,0,0.12,20,1.25,17.76,0.895,-5.36,37,117758.68
60,0.04,-0.02,10,5,0,0.12,20,1.5,17.76,0.895,-5.36,37,117758.68
60,0.05,-0.02,10,5,0,0.15,40,1.25,17.61,0.915,-4.7,37,117611.6
60,0.05,-0.02,10,5,0,0.15,40,1.5,17.61,0.915,-4.7,37,117611.6
60,0.04,-0.02,5,10,0,0.12,20,1.25,17.43,0.835,-5.36,33,117431.15
60,0.04,-0.02,5,10,0,0.12,20,1.5,17.43,0.835,-5.36,33,117431.15
60,0.04,-0.02,10,5,0,0.15,40,1.25,17.33,0.9,-4.7,37,117326.42
60,0.04,-0.02,10,5,0,0.15,40,1.5,17.33,0.9,-4.7,37,117326.42
60,0.05,-0.02,5,5,0,0.15,40,1.25,16.61,0.874,-4.7,39,116608.04
60,0.05,-0.02,5,5,0,0.15,40,1.5,16.61,0.874,-4.7,39,116608.04
60,0.04,-0.02,5,10,0,0.15,40,1.25,16.52,0.825,-4.7,33,116516.2
60,0.04,-0.02,5,10,0,0.15,40,1.5,16.52,0.825,-4.7,33,116516.2
60,0.05,-0.02,10,5,0,0.1,20,1.25,16.32,0.937,-4.55,37,116321.93
60,0.05,-0.02,10,5,0,0.1,20,1.5,16.32,0.937,-4.55,37,116321.93
60,0.05,-0.02,5,5,0,0.1,20,1.25,15.57,0.906,-4.55,39,115569.98
60,0.05,-0.02,5,5,0,0.1,20,1.5,15.57,0.906,-4.55,39,115569.98
60,0.04,-0.02,10,5,0,0.1,20,1.25,15.43,0.908,-4.55,37,115433.65
60,0.04,-0.02,10,5,0,0.1,20,1.5,15.43,0.908,-4.55,37,115433.65
60,0.04,-0.02,5,10,0,0.1,20,1.25,15.25,0.847,-4.55,33,115253.61
60,0.04,-0.02,5,10,0,0.1,20,1.5,15.25,0.847,-4.55,33,115253.61
60,0.05,-0.02,10,5,0,0.12,40,1.25,14.35,0.91,-3.83,37,114350.66
60,0.05,-0.02,10,5,0,0.12,40,1.5,14.35,0.91,-3.83,37,114350.66
60,0.04,-0.02,10,5,0,0.12,40,1.25,14.08,0.892,-3.83,37,114078.3
60,0.04,-0.02,10,5,0,0.12,40,1.5,14.08,0.892,-3.83,37,114078.3
60,0.05,-0.02,5,5,0,0.12,40,1.25,13.54,0.868,-3.83,39,113539.59
60,0.05,-0.02,5,5,0,0.12,40,1.5,13.54,0.868,-3.83,39,113539.59
60,0.04,-0.02,5,10,0,0.12,40,1.25,13.51,0.82,-3.83,33,113508.7
60,0.04,-0.02,5,10,0,0.12,40,1.5,13.51,0.82,-3.83,33,113508.7
60,0.05,-0.02,10,5,0,0.1,40,1.25,12.51,0.914,-3.27,37,112507.16
60,0.05,-0.02,10,5,0,0.1,40,1.5,12.51,0.914,-3.27,37,112507.16
60,0.04,-0.02,10,5,0,0.1,40,1.25,12.26,0.896,-3.27,37,112256.58
60,0.04,-0.02,10,5,0,0.1,40,1.5,12.26,0.896,-3.27,37,112256.58
60,0.04,-0.02,5,10,0,0.1,40,1.25,12.02,0.827,-3.27,33,112024.57
60,0.04,-0.02,5,10,0,0.1,40,1.5,12.02,0.827,-3.27,33,112024.57
60,0.05,-0.02,5,5,0,0.1,40,1.25,11.83,0.874,-3.27,39,111830.69
60,0.05,-0.02,5,5,0,0.1,40,1.5,11.83,0.874,-3.27,39,111830.69
